;Unnamed: 0;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre;Essence_pop;Hybride_pop;diesel_pop;GPL_pop;electrique_pop;autre_pop
20;20;2014;54.58782265194945;Bourgogne-Franche-Comte;2820623;0.0;332.0;516.0;291.0;172.0;32.0;25612;1636;51396;95;291;0;0.9080263473707759;0.0580013706191859;1.822150638351882;0.0033680502498916022;0.010316869712825855;0.0
21;21;2015;52.46321044546851;Bourgogne-Franche-Comte;2820940;0.0;336.0;519.0;379.0;187.0;34.0;32298;2475;46488;61;569;4;1.144937503101803;0.08773671187618312;1.6479613178585861;0.0021623997674534022;0.02017058143739321;0.00014179670606251815
22;22;2016;46.00801772692761;Bourgogne-Franche-Comte;2818338;0.0;333.0;520.0;467.0;196.0;36.0;37224;1855;42360;27;708;3;1.3207784162155143;0.06581893300235812;1.5030134781562752;0.0009580114237539997;0.02512118844510488;0.00010644571375044441
23;23;2017;43.94688928208117;Bourgogne-Franche-Comte;2811423;0.0;372.0;522.0;640.0;241.0;39.0;41272;2452;37613;32;670;2;1.468011039249519;0.08721561999030385;1.3378634236114593;0.0011382136377201153;0.023831348039764916;7.113835235750721e-05
24;24;2014;43.13485574800925;Normandie;3335645;10640.0;1420.0;43.0;520.0;110.0;100.0;36380;1681;84377;105;510;1;1.0906436386366056;0.050395051032109235;2.5295557530852353;0.003147816988918185;0.015289396803316901;2.997920941826843e-05
25;25;2015;42.003267053535865;Normandie;3339131;10640.0;1414.0;50.0;567.0;116.0;103.0;87826;6007;113793;197;2003;28;2.630205283949626;0.1798971049653338;3.40786270439824;0.0058997385846796665;0.0599856669295095;0.000838541524726044
26;26;2016;38.387869310992215;Normandie;3335929;10640.0;1416.0;50.0;643.0;123.0;110.0;59120;2693;77361;10;1212;1;1.7722199723075642;0.08072713777781242;2.319024175874247;0.00029976657177056224;0.036331708498592144;2.9976657177056228e-05
27;27;2017;10.546385902031062;Normandie;3330478;10640.0;1432.0;50.0;726.0;131.0;114.0;68549;3399;72720;22;1237;7;2.058233082458434;0.10205742238801757;2.183470360710985;0.0006605658406991429;0.037141815679310894;0.00021018004022245454
28;28;2018;37.80510836270489;Normandie;3327477;10640.0;1438.0;43.0;822.0;153.0;117.0;81901;4778;59347;96;1414;0;2.4613543534636;0.14359227727193907;1.7835435075884822;0.0028850687773348998;0.04249465886616196;0.0
29;29;2019;38.636752713977415;Normandie;3325032;10640.0;1393.0;30.0;836.0;178.0;121.0;89859;6309;48745;108;1875;9;2.702500306763965;0.18974253480868755;1.4660009287128664;0.003248089040947576;0.056390434738673195;0.00027067408674563134
