;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre
40;2014;43.21922738227661;Pays de la Loire;3690833;0.0;3283.0;10.0;578.0;350.0;63.0;27029;1870;45773;153;441;25
41;2015;46.9264305614697;Pays de la Loire;3718512;0.0;3290.0;8.0;632.0;379.0;62.0;32093;2559;42513;99;970;17
42;2016;46.105258206257005;Pays de la Loire;3737632;0.0;3315.0;9.0;733.0;413.0;67.0;37588;2600;41206;10;1393;41
43;2017;39.37380372948644;Pays de la Loire;3757600;0.0;2696.0;9.0;822.0;463.0;71.0;42977;3785;40968;70;1364;32
44;2018;36.533451740911424;Pays de la Loire;3781423;0.0;2071.0;9.0;911.0;496.0;71.0;52381;5563;35323;165;1501;8
45;2019;36.607558442361;Pays de la Loire;3806461;0.0;2080.0;11.0;1012.0;557.0;77.0;55061;6360;34280;153;2099;25
46;2020;35.12338400692128;Pays de la Loire;3827922;0.0;2103.0;11.0;1070.79;615.0;77.0;None;None;None;None;None;None
47;2021;37.03380056323604;Pays de la Loire;3849977;0.0;2059.0;11.0;1165.0;755.0;81.0;None;None;None;None;None;None
48;2014;44.95304675437926;Bretagne;3276543;0.0;743.0;274.0;826.0;167.0;51.0;26784;1475;44534;112;348;7
49;2015;34.010400524982245;Bretagne;3293850;0.0;794.0;277.0;854.0;178.0;53.0;33180;1997;41010;77;582;10
50;2016;37.9223779928067;Bretagne;3306529;0.0;859.0;277.0;913.0;190.0;55.0;38334;2246;38055;12;1018;9
51;2017;35.88610414196482;Bretagne;3318904;0.0;904.0;277.0;974.0;205.0;65.0;44097;3329;36359;40;1130;7
52;2018;37.16771504557065;Bretagne;3335414;0.0;964.0;272.0;1014.0;219.0;67.0;54210;4655;30540;119;1271;4
53;2019;26.716848011606075;Bretagne;3354854;0.0;975.0;275.0;1047.0;236.0;74.0;53845;4955;29104;100;1693;16
54;2020;28.671988938326535;Bretagne;3370113;0.0;1006.0;275.0;1064.95;253.0;76.0;None;None;None;None;None;None
55;2021;31.009534121294877;Bretagne;3386415;0.0;1413.0;275.0;1140.0;314.0;81.0;None;None;None;None;None;None
56;2014;43.59997031958588;Nouvelle-Aquitaine;5879144;6630.0;465.0;1765.0;483.0;1142.0;221.0;48075;3438;93144;228;757;7
57;2015;47.65515138807964;Nouvelle-Aquitaine;5911482;6630.0;470.0;1761.0;556.0;1594.0;282.0;61454;4239;88976;168;1564;20
58;2016;40.960445015595646;Nouvelle-Aquitaine;5935603;6630.0;495.0;1762.0;689.0;1734.0;294.0;72828;4633;84531;20;2035;32
59;2017;13.979486978075688;Nouvelle-Aquitaine;5956978;6630.0;534.0;1762.0;856.0;2047.0;299.0;85371;7127;82780;84;2089;5
60;2018;39.0916194006011;Nouvelle-Aquitaine;5979778;6630.0;580.0;1763.0;955.0;2263.0;308.0;105458;9902;70864;221;2680;5
61;2019;36.61373362377951;Nouvelle-Aquitaine;6010289;6630.0;576.0;1765.0;1049.0;2583.0;325.0;108185;11251;64227;209;3317;21
62;2020;34.52417952520845;Nouvelle-Aquitaine;6033690;6630.0;626.0;1766.0;1178.47;2753.0;339.0;None;None;None;None;None;None
63;2021;37.65432270423928;Nouvelle-Aquitaine;6058437;6630.0;576.0;2222.0;1312.0;3264.0;337.0;None;None;None;None;None;None
64;2014;47.418870650833945;Occitanie;5730753;2620.0;1613.0;5407.0;934.0;1116.0;133.0;44930;3006;85923;203;750;20
65;2015;47.59917643346917;Occitanie;5774185;2620.0;1612.0;5394.0;1038.0;1279.0;137.0;57078;3979;81539;118;1341;11
66;2016;46.50591397849462;Occitanie;5808435;2620.0;250.0;5394.0;1165.0;1478.0;139.0;67031;3951;78225;26;1846;20
67;2017;45.998811848994414;Occitanie;5845102;2620.0;266.0;5387.0;1399.0;1615.0;145.0;78142;6331;74405;59;2275;24
68;2018;45.63030009092996;Occitanie;5885496;2620.0;282.0;5388.0;1526.0;1814.0;146.0;93092;8616;62047;171;2818;6
69;2019;33.96700803599441;Occitanie;5933185;2620.0;282.0;5392.0;1630.0;2013.0;146.0;99050;9442;56572;139;3903;13
70;2020;34.16996562604646;Occitanie;5972810;2620.0;284.0;5411.0;1659.07;2160.0;148.0;None;None;None;None;None;None
71;2021;33.08060601089198;Occitanie;6013289;2620.0;291.0;5283.0;1583.0;2623.0;149.0;None;None;None;None;None;None
72;2014;43.80565650791689;Auvergne-Rhone-Alpes;7820966;13570.0;1091.0;11564.0;376.0;583.0;145.0;71553;4570;121267;261;1173;10
73;2015;40.40192634789608;Auvergne-Rhone-Alpes;7877698;13570.0;1100.0;11570.0;402.0;647.0;165.0;87826;6007;113793;197;2003;28
74;2016;41.513889551000226;Auvergne-Rhone-Alpes;7916889;13570.0;1062.0;11592.0;443.0;703.0;172.0;101812;5911;109989;50;2898;25
75;2017;42.18272010067755;Auvergne-Rhone-Alpes;7948287;13570.0;1061.0;11608.0;500.0;776.0;172.0;115984;9007;108299;173;3443;60
76;2018;39.222358690726324;Auvergne-Rhone-Alpes;7994459;13570.0;1072.0;11628.0;553.0;942.0;181.0;133791;12185;94115;316;4150;34
77;2019;36.28099839769055;Auvergne-Rhone-Alpes;8042936;13570.0;1059.0;11792.0;552.0;1068.0;183.0;139877;13983;87025;287;5490;50
78;2020;35.71865344209616;Auvergne-Rhone-Alpes;8082099;13570.0;1077.0;11794.0;582.52;1190.0;187.0;None;None;None;None;None;None
79;2021;29.165385353893416;Auvergne-Rhone-Alpes;8113805;13570.0;1063.0;11452.0;685.0;1493.0;191.0;None;None;None;None;None;None
80;2014;52.39224137931035;Provence-Alpes-Cote d'Azur;4983438;0.0;3208.0;3226.0;47.0;766.0;131.0;54893;3083;77059;153;830;25
81;2015;56.525624978661426;Provence-Alpes-Cote d'Azur;5007977;0.0;3068.0;3222.0;50.0;869.0;120.0;67562;4056;71046;108;1286;12
82;2016;45.33445015523472;Provence-Alpes-Cote d'Azur;5021928;0.0;3229.0;3225.0;50.0;945.0;292.0;77303;4228;67127;44;1697;40
83;2017;49.23881553137298;Provence-Alpes-Cote d'Azur;5030890;0.0;3253.0;3262.0;50.0;1110.0;292.0;84135;6801;64405;76;2096;20
84;2018;47.26834652262211;Provence-Alpes-Cote d'Azur;5052832;0.0;3277.0;3261.0;48.0;1224.0;292.0;94676;8859;53610;133;2790;10
85;2019;43.57279617679639;Provence-Alpes-Cote d'Azur;5081101;0.0;3283.0;3269.0;48.0;1335.0;293.0;103525;10196;47061;104;4860;23
86;2020;40.146896132386956;Provence-Alpes-Cote d'Azur;5098994;0.0;3313.0;3273.0;96.56;1436.0;302.0;None;None;None;None;None;None
87;2021;41.62113172484418;Provence-Alpes-Cote d'Azur;5116360;0.0;2722.0;3273.0;97.0;1653.0;293.0;None;None;None;None;None;None
88;2014;42.18487737697971;Corse;324212;0.0;489.0;211.0;18.0;102.0;2.0;7267;104;18059;3;27;0
89;2015;36.74256780020128;Corse;327283;0.0;489.0;223.0;18.0;110.0;2.0;10893;496;14897;5;31;0
90;2016;33.93383902134954;Corse;330455;0.0;489.0;223.0;18.0;116.0;2.0;14552;232;15562;0;48;0
91;2017;37.70744367639529;Corse;334938;0.0;489.0;223.0;18.0;134.0;2.0;17831;416;15652;1;90;0
92;2018;33.55325832481284;Corse;338554;0.0;489.0;223.0;18.0;152.0;2.0;22078;631;11405;3;114;0
93;2019;34.401178737889815;Corse;340440;0.0;489.0;223.0;18.0;152.0;2.0;23154;640;10714;10;173;0
94;2020;35.059068744738006;Corse;343634;0.0;489.0;223.0;18.0;152.0;2.0;None;None;None;None;None;None
95;2021;25.864021389788324;Corse;346610;0.0;489.0;223.0;18.0;152.0;2.0;None;None;None;None;None;None
